,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PERIOD,GAME_WON
469,0022301031,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:59,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,1.0,1,False
470,0022301031,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:04,3,5,0.6,1,1,1.0,4,4,1.0,0,2,2,1,0,0,1,0,11,4.0,2,False
471,0022301031,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:53,3,7,0.429,2,4,0.5,0,0,0.0,0,0,0,0,0,0,1,1,8,-3.0,3,False
472,0022301031,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:54,2,6,0.333,1,4,0.25,4,4,1.0,0,1,1,2,0,0,0,0,9,4.0,4,False
473,0022301044,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:50,3,5,0.6,1,3,0.333,0,0,0.0,1,0,1,2,0,0,0,1,7,6.0,1,True
474,0022301044,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:43,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-6.0,2,True
475,0022301044,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:25,2,6,0.333,1,5,0.2,0,0,0.0,0,0,0,1,0,0,1,0,5,11.0,3,True
476,0022301044,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:03,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,3,0,0,0,0,5,8.0,4,True
477,0022301049,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:19,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,2,0,12.0,1,True
478,0022301049,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:10,2,6,0.333,0,2,0.0,2,2,1.0,0,1,1,3,0,0,1,0,6,2.0,2,True
479,0022301049,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:04,2,5,0.4,2,3,0.667,0,0,0.0,0,2,2,3,0,0,0,0,6,0.0,3,True
480,0022301049,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:28,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,0,5,4.0,4,True
481,0022301062,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:19,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,3,0,0,0,0,5,10.0,1,True
482,0022301062,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:16,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,0,1,0,0,1,3,-4.0,2,True
