,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,GAME_WON
4,0022301062,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:08,9.0,18.0,0.5,4.0,11.0,0.364,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,23.0,13.0,True
4,0022301085,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:32,12.0,23.0,0.522,7.0,15.0,0.467,2.0,2.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,4.0,1.0,33.0,12.0,True
4,0022301097,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:26,9.0,23.0,0.391,5.0,14.0,0.357,5.0,6.0,0.833,1.0,5.0,6.0,5.0,1.0,0.0,2.0,2.0,28.0,-5.0,False
4,0022301113,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:40,9.0,14.0,0.643,2.0,6.0,0.333,9.0,9.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0,2.0,29.0,29.0,True
4,0022301155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:19,7.0,9.0,0.778,6.0,6.0,1.0,3.0,4.0,0.75,0.0,7.0,7.0,8.0,1.0,2.0,1.0,2.0,23.0,13.0,True
4,0022301169,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:22,8.0,22.0,0.364,5.0,16.0,0.313,1.0,1.0,1.0,0.0,7.0,7.0,8.0,1.0,2.0,2.0,0.0,22.0,7.0,True
17,0022301182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:24,12.0,23.0,0.522,7.0,13.0,0.538,2.0,2.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,7.0,2.0,33.0,-8.0,False
17,0022301214,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:29,8.0,18.0,0.444,5.0,13.0,0.385,10.0,11.0,0.909,0.0,5.0,5.0,1.0,0.0,0.0,4.0,2.0,31.0,4.0,True
4,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,40.000000:22,10.0,20.0,0.5,6.0,12.0,0.5,8.0,8.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,3.0,0.0,34.0,-5.0,False
19,0022400007,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:52,14.0,27.0,0.519,5.0,12.0,0.417,4.0,5.0,0.8,0.0,6.0,6.0,9.0,1.0,2.0,4.0,2.0,37.0,24.0,True
17,0022400019,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,26.000000:01,4.0,9.0,0.444,3.0,7.0,0.429,2.0,2.0,1.0,1.0,7.0,8.0,5.0,4.0,0.0,3.0,2.0,13.0,9.0,True
4,0022400072,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,25.000000:04,4.0,10.0,0.4,3.0,7.0,0.429,6.0,6.0,1.0,0.0,9.0,9.0,10.0,2.0,0.0,2.0,0.0,17.0,23.0,True
4,0022400084,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27.000000:25,7.0,20.0,0.35,4.0,13.0,0.308,2.0,2.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,20.0,22.0,True
17,0022400101,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,26.000000:42,6.0,11.0,0.545,4.0,7.0,0.571,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,1.0,6.0,1.0,18.0,2.0,False
4,0022400155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,24.000000:05,7.0,15.0,0.467,4.0,9.0,0.444,6.0,6.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,2.0,1.0,24.0,9.0,True
4,0022400172,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:23,8.0,17.0,0.471,4.0,9.0,0.444,7.0,7.0,1.0,0.0,7.0,7.0,9.0,4.0,1.0,3.0,2.0,27.0,7.0,True
4,0022400188,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,23.000000:46,5.0,10.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,6.0,0.0,12.0,-25.0,False
4,0022400207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:30,13.0,23.0,0.565,7.0,13.0,0.538,3.0,4.0,0.75,1.0,4.0,5.0,7.0,1.0,1.0,3.0,2.0,36.0,21.0,True
