home_team,away_team,ticket_price,date,day_of_week,time,location,url,game_type,duplicate
Phoenix Mercury,Dallas Wings,33.0,2025-07-07,Monday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-07-07-7-pm/17289944,regular_season,
Atlanta Dream,Golden State Valkyries,27.0,2025-07-07,Monday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-07-07-7-30-pm/17290128,regular_season,
Washington Mystics,Chicago Sky,132.0,2025-07-08,Tuesday,11:30,"EagleBank Arena ·  ·  · Fairfax, VA",/washington-mystics-tickets/wnba/2025-07-08-11-30-am/17289950,regular_season,
New York Liberty,Las Vegas Aces,37.0,2025-07-08,Tuesday,20:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-08-8-pm/17289945,regular_season,
Connecticut Sun,Seattle Storm,12.0,2025-07-09,Wednesday,11:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-07-09-11-am/17290216,regular_season,
Indiana Fever,Golden State Valkyries,32.0,2025-07-09,Wednesday,12:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-09-12-pm/17290352,regular_season,
Phoenix Mercury,Minnesota Lynx,15.0,2025-07-09,Wednesday,12:30,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-07-09-12-30-pm/17289953,regular_season,
Chicago Sky,Dallas Wings,87.0,2025-07-09,Wednesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-07-09-7-pm/17290169,regular_season,
Los Angeles Sparks,Minnesota Lynx,17.0,2025-07-10,Thursday,12:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-07-10-12-pm/17289954,regular_season,
Washington Mystics,Las Vegas Aces,44.0,2025-07-10,Thursday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-07-10-7-30-pm/17289955,regular_season,True
Seattle Storm,Connecticut Sun,11.0,2025-07-11,Friday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-07-11-7-pm/17289958,regular_season,
Indiana Fever,Atlanta Dream,24.0,2025-07-11,Friday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-11-7-30-pm/17290355,regular_season,
Chicago Sky,Minnesota Lynx,39.0,2025-07-12,Saturday,12:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-07-12-12-pm/17290171,regular_season,
Las Vegas Aces,Golden State Valkyries,20.0,2025-07-12,Saturday,13:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-07-12-1-pm/17290395,regular_season,
Indiana Fever,Dallas Wings,54.0,2025-07-13,Sunday,13:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-13-1-pm/17290356,regular_season,
Seattle Storm,Washington Mystics,16.0,2025-07-13,Sunday,15:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-07-13-3-pm/17289965,regular_season,
New York Liberty,Atlanta Dream,20.0,2025-07-13,Sunday,15:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-13-3-pm/17289961,regular_season,
Los Angeles Sparks,Connecticut Sun,28.0,2025-07-13,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-07-13-3-pm/17289960,regular_season,
Golden State Valkyries,Phoenix Mercury,31.0,2025-07-14,Monday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-07-14-7-pm/17290309,regular_season,
Chicago Sky,Minnesota Lynx,47.0,2025-07-14,Monday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-07-14-7-pm/17290172,regular_season,
Los Angeles Sparks,Washington Mystics,23.0,2025-07-15,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-07-15-7-pm/17289966,regular_season,
Connecticut Sun,Indiana Fever,129.0,2025-07-15,Tuesday,20:00,"TD Garden ·  ·  · Boston, MA",/connecticut-sun-tickets/wnba/2025-07-15-8-pm/17293007,regular_season,
Chicago Sky,Atlanta Dream,32.0,2025-07-16,Wednesday,11:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-07-16-11-am/17290173,regular_season,
Minnesota Lynx,Phoenix Mercury,114.0,2025-07-16,Wednesday,12:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-16-12-pm/17289967,regular_season,
Seattle Storm,Golden State Valkyries,23.0,2025-07-16,Wednesday,12:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-07-16-12-pm/17289972,regular_season,
Dallas Wings,Las Vegas Aces,63.0,2025-07-16,Wednesday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-07-16-7-pm/17290263,regular_season,
New York Liberty,Indiana Fever,120.0,2025-07-16,Wednesday,19:30,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-16-7-30-pm/17289971,regular_season,
,,120.0,2025-07-18,Friday,20:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/wnba-all-star-game-tickets/wnba/2025-07-18-8-pm/17476010,all_star,
,,288.0,2025-07-19,Saturday,20:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/wnba-all-star-game-tickets/wnba/2025-07-19-8-30-pm/17235018,all_star,
Las Vegas Aces,Atlanta Dream,8.0,2025-07-22,Tuesday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-07-22-7-pm/17290396,regular_season,
Seattle Storm,Dallas Wings,44.0,2025-07-22,Tuesday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-07-22-7-pm/17289978,regular_season,
Minnesota Lynx,Chicago Sky,113.0,2025-07-22,Tuesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-22-7-pm/17289973,regular_season,
Washington Mystics,Los Angeles Sparks,32.0,2025-07-22,Tuesday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-07-22-7-30-pm/17289981,regular_season,
New York Liberty,Indiana Fever,120.0,2025-07-22,Tuesday,20:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-22-8-pm/17289977,regular_season,
Phoenix Mercury,Atlanta Dream,11.0,2025-07-23,Wednesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-07-23-7-pm/17289983,regular_season,
Indiana Fever,Las Vegas Aces,26.0,2025-07-24,Thursday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-24-7-pm/17290358,regular_season,
Connecticut Sun,Los Angeles Sparks,13.0,2025-07-24,Thursday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-07-24-7-pm/17290221,regular_season,
Chicago Sky,Seattle Storm,23.0,2025-07-24,Thursday,19:30,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-07-24-7-30-pm/17290177,regular_season,
Minnesota Lynx,Las Vegas Aces,121.0,2025-07-25,Friday,18:30,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-25-6-30-pm/17289984,regular_season,
Golden State Valkyries,Dallas Wings,56.0,2025-07-25,Friday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-07-25-7-pm/17290310,regular_season,
New York Liberty,Phoenix Mercury,22.0,2025-07-25,Friday,19:30,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-25-7-30-pm/17289986,regular_season,
New York Liberty,Los Angeles Sparks,16.0,2025-07-26,Saturday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-26-7-pm/17289989,regular_season,
Washington Mystics,Seattle Storm,51.0,2025-07-26,Saturday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-07-26-7-30-pm/17289991,regular_season,
Connecticut Sun,Golden State Valkyries,20.0,2025-07-27,Sunday,13:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-07-27-1-pm/17290223,regular_season,
Chicago Sky,Indiana Fever,63.0,2025-07-27,Sunday,14:00,"United Center ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-07-27-2-pm/17290179,regular_season,
Dallas Wings,Las Vegas Aces,69.0,2025-07-27,Sunday,15:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-07-27-3-pm/17290267,regular_season,
Minnesota Lynx,Atlanta Dream,97.0,2025-07-27,Sunday,18:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-27-6-pm/17289993,regular_season,
Washington Mystics,Phoenix Mercury,47.0,2025-07-27,Sunday,18:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-07-27-6-pm/17289995,regular_season,
Dallas Wings,New York Liberty,58.0,2025-07-28,Monday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-07-28-7-pm/17290268,regular_season,
Connecticut Sun,Seattle Storm,12.0,2025-07-28,Monday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-07-28-7-pm/17290225,regular_season,
Los Angeles Sparks,Las Vegas Aces,38.0,2025-07-29,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-07-29-7-pm/17289997,regular_season,
Washington Mystics,Chicago Sky,69.0,2025-07-29,Tuesday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-07-29-7-30-pm/17289998,regular_season,
Atlanta Dream,Golden State Valkyries,35.0,2025-07-29,Tuesday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-07-29-7-30-pm/17290132,regular_season,
Indiana Fever,Phoenix Mercury,13.0,2025-07-30,Wednesday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-30-7-pm/17290361,regular_season,
Minnesota Lynx,New York Liberty,113.0,2025-07-30,Wednesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-30-7-pm/17289999,regular_season,
Dallas Wings,Atlanta Dream,38.0,2025-07-30,Wednesday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-07-30-7-pm/17290271,regular_season,
Washington Mystics,Golden State Valkyries,71.0,2025-07-31,Thursday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-07-31-7-30-pm/17290003,regular_season,
Chicago Sky,Golden State Valkyries,51.0,2025-08-01,Friday,18:30,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-01-6-30-pm/17290181,regular_season,
Dallas Wings,Indiana Fever,150.0,2025-08-01,Friday,18:30,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-01-6-30-pm/17290272,regular_season,
Seattle Storm,Los Angeles Sparks,23.0,2025-08-01,Friday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-08-01-7-pm/17290005,regular_season,
Connecticut Sun,New York Liberty,27.0,2025-08-01,Friday,19:30,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-08-01-7-30-pm/17290226,regular_season,
Atlanta Dream,Phoenix Mercury,35.0,2025-08-01,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-08-01-7-30-pm/17290133,regular_season,
Las Vegas Aces,Minnesota Lynx,14.0,2025-08-02,Saturday,12:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-02-12-pm/17290397,regular_season,
Seattle Storm,Indiana Fever,91.0,2025-08-03,Sunday,12:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-08-03-12-pm/17290007,regular_season,
Connecticut Sun,New York Liberty,47.0,2025-08-03,Sunday,13:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-08-03-1-pm/17290227,regular_season,
Atlanta Dream,Washington Mystics,40.0,2025-08-03,Sunday,15:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-08-03-3-pm/17290139,regular_season,
Las Vegas Aces,Golden State Valkyries,11.0,2025-08-03,Sunday,15:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-03-3-pm/17290401,regular_season,
Chicago Sky,Phoenix Mercury,47.0,2025-08-03,Sunday,17:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-03-5-pm/17290180,regular_season,
Phoenix Mercury,Connecticut Sun,13.0,2025-08-05,Tuesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-05-7-pm/17290011,regular_season,
Seattle Storm,Minnesota Lynx,15.0,2025-08-05,Tuesday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-08-05-7-pm/17290014,regular_season,
New York Liberty,Dallas Wings,89.0,2025-08-05,Tuesday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-08-05-7-pm/17290010,regular_season,
Chicago Sky,Washington Mystics,37.0,2025-08-05,Tuesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-05-7-pm/17290182,regular_season,
Los Angeles Sparks,Indiana Fever,85.0,2025-08-05,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-05-7-pm/17290009,regular_season,
Golden State Valkyries,Las Vegas Aces,53.0,2025-08-06,Wednesday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-06-7-pm/17290313,regular_season,
Phoenix Mercury,Indiana Fever,52.0,2025-08-07,Thursday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-07-7-pm/17290019,regular_season,
Chicago Sky,Atlanta Dream,33.0,2025-08-07,Thursday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-07-7-pm/17290187,regular_season,
Los Angeles Sparks,Connecticut Sun,28.0,2025-08-07,Thursday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-07-7-pm/17290017,regular_season,
Minnesota Lynx,Washington Mystics,86.0,2025-08-08,Friday,18:30,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-08-08-6-30-pm/17290021,regular_season,
Dallas Wings,New York Liberty,58.0,2025-08-08,Friday,18:30,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-08-6-30-pm/17290274,regular_season,
Las Vegas Aces,Seattle Storm,14.0,2025-08-08,Friday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-08-7-pm/17290402,regular_season,
Golden State Valkyries,Los Angeles Sparks,53.0,2025-08-09,Saturday,12:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-09-12-pm/17290315,regular_season,
Indiana Fever,Chicago Sky,55.0,2025-08-09,Saturday,20:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-08-09-8-pm/17290362,regular_season,
New York Liberty,Minnesota Lynx,24.0,2025-08-10,Sunday,12:30,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-08-10-12-30-pm/17290023,regular_season,
Phoenix Mercury,Atlanta Dream,18.0,2025-08-10,Sunday,15:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-10-3-pm/17290025,regular_season,
Los Angeles Sparks,Seattle Storm,28.0,2025-08-10,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-10-3-pm/17290024,regular_season,
Dallas Wings,Washington Mystics,47.0,2025-08-10,Sunday,15:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-10-3-pm/17290275,regular_season,
Las Vegas Aces,Connecticut Sun,11.0,2025-08-10,Sunday,18:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-10-6-pm/17290405,regular_season,
Golden State Valkyries,Connecticut Sun,25.0,2025-08-11,Monday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-11-7-pm/17290317,regular_season,
Los Angeles Sparks,New York Liberty,48.0,2025-08-12,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-12-7-pm/17290029,regular_season,
Indiana Fever,Dallas Wings,36.0,2025-08-12,Tuesday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-08-12-7-30-pm/17290365,regular_season,
Las Vegas Aces,New York Liberty,20.0,2025-08-13,Wednesday,18:30,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-13-6-30-pm/17290407,regular_season,
Connecticut Sun,Chicago Sky,22.0,2025-08-13,Wednesday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-08-13-7-pm/17290229,regular_season,
Seattle Storm,Atlanta Dream,13.0,2025-08-13,Wednesday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-08-13-7-pm/17290031,regular_season,
Washington Mystics,Golden State Valkyries,32.0,2025-08-13,Wednesday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-08-13-7-30-pm/17290032,regular_season,
Dallas Wings,Los Angeles Sparks,61.0,2025-08-15,Friday,18:30,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-15-6-30-pm/17290279,regular_season,
Chicago Sky,Golden State Valkyries,39.0,2025-08-15,Friday,18:30,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-15-6-30-pm/17290189,regular_season,
Phoenix Mercury,Las Vegas Aces,19.0,2025-08-15,Friday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-15-7-pm/17290035,regular_season,
Seattle Storm,Atlanta Dream,,2025-08-15,Friday,19:00,"Vancouver, Canada",/wnba-canada-game-tickets/wnba/2025-08-15-7-pm/17313577,regular_season,
Indiana Fever,Washington Mystics,19.0,2025-08-15,Friday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-08-15-7-30-pm/17290367,regular_season,
Minnesota Lynx,New York Liberty,138.0,2025-08-16,Saturday,13:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-08-16-1-pm/17290036,regular_season,
Las Vegas Aces,Dallas Wings,18.0,2025-08-17,Sunday,12:30,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-17-12-30-pm/17290408,regular_season,
Connecticut Sun,Indiana Fever,108.0,2025-08-17,Sunday,13:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-08-17-1-pm/17290233,regular_season,
Seattle Storm,Phoenix Mercury,14.0,2025-08-17,Sunday,15:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-08-17-3-pm/17290038,regular_season,
Washington Mystics,Los Angeles Sparks,60.0,2025-08-17,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-08-17-3-pm/17290041,regular_season,
Golden State Valkyries,Atlanta Dream,26.0,2025-08-17,Sunday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-17-5-30-pm/17290319,regular_season,
Chicago Sky,Seattle Storm,33.0,2025-08-19,Tuesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-19-7-pm/17290191,regular_season,
New York Liberty,Minnesota Lynx,18.0,2025-08-19,Tuesday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-08-19-7-pm/17290043,regular_season,
Golden State Valkyries,Phoenix Mercury,33.0,2025-08-19,Tuesday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-19-7-pm/17290320,regular_season,
Las Vegas Aces,Atlanta Dream,6.0,2025-08-19,Tuesday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-19-7-pm/17290409,regular_season,
Washington Mystics,Connecticut Sun,28.0,2025-08-19,Tuesday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-08-19-7-30-pm/17290044,regular_season,
Los Angeles Sparks,Dallas Wings,49.0,2025-08-20,Wednesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-20-7-pm/17290047,regular_season,
New York Liberty,Chicago Sky,19.0,2025-08-21,Thursday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-08-21-7-pm/17290048,regular_season,
Las Vegas Aces,Phoenix Mercury,6.0,2025-08-21,Thursday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-08-21-7-pm/17290413,regular_season,
Connecticut Sun,Washington Mystics,14.0,2025-08-21,Thursday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-08-21-7-pm/17290235,regular_season,
Atlanta Dream,Minnesota Lynx,36.0,2025-08-21,Thursday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-08-21-7-30-pm/17290142,regular_season,
Dallas Wings,Seattle Storm,47.0,2025-08-22,Friday,18:30,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-22-6-30-pm/17290281,regular_season,
Phoenix Mercury,Golden State Valkyries,15.0,2025-08-22,Friday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-22-7-pm/17290050,regular_season,
Indiana Fever,Minnesota Lynx,32.0,2025-08-22,Friday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-08-22-7-30-pm/17290368,regular_season,
Atlanta Dream,New York Liberty,52.0,2025-08-23,Saturday,14:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-08-23-2-pm/17290143,regular_season,
Washington Mystics,Las Vegas Aces,108.0,2025-08-23,Saturday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-08-23-3-pm/17290053,regular_season,
Chicago Sky,Connecticut Sun,43.0,2025-08-23,Saturday,16:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-23-4-pm/17290192,regular_season,
Dallas Wings,Golden State Valkyries,62.0,2025-08-24,Sunday,15:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-24-3-pm/17290283,regular_season,
Washington Mystics,Seattle Storm,54.0,2025-08-24,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-08-24-3-pm/17290056,regular_season,
Minnesota Lynx,Indiana Fever,170.0,2025-08-24,Sunday,18:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-08-24-6-pm/17290055,regular_season,
New York Liberty,Connecticut Sun,10.0,2025-08-25,Monday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-08-25-7-pm/17290059,regular_season,
Chicago Sky,Las Vegas Aces,59.0,2025-08-25,Monday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-08-25-7-pm/17290194,regular_season,
Los Angeles Sparks,Phoenix Mercury,28.0,2025-08-26,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-26-7-pm/17290060,regular_season,
Indiana Fever,Seattle Storm,12.0,2025-08-26,Tuesday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-08-26-7-pm/17290371,regular_season,
Dallas Wings,Connecticut Sun,47.0,2025-08-27,Wednesday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-08-27-7-pm/17290284,regular_season,
Atlanta Dream,Las Vegas Aces,67.0,2025-08-27,Wednesday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-08-27-7-30-pm/17290144,regular_season,
New York Liberty,Washington Mystics,9.0,2025-08-28,Thursday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-08-28-7-pm/17290064,regular_season,
Minnesota Lynx,Seattle Storm,86.0,2025-08-28,Thursday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-08-28-7-pm/17290063,regular_season,
Phoenix Mercury,Chicago Sky,21.0,2025-08-28,Thursday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-28-7-pm/17290067,regular_season,
Los Angeles Sparks,Indiana Fever,78.0,2025-08-29,Friday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-29-7-pm/17290068,regular_season,
