iter	Logloss
0	0.5023700645
1	0.3932387474
2	0.3262777715
3	0.2493510331
4	0.2138106637
5	0.1829267234
6	0.1665539679
7	0.1488368184
8	0.1383677249
9	0.129402388
10	0.1227703178
11	0.1179827219
12	0.1126845552
13	0.1058191619
14	0.1006455131
15	0.09665421708
16	0.09392858246
17	0.09140541706
18	0.08908059858
19	0.08566271757
