Player,2025-26
Stephon Castle,"$9,560,520"
Pat Connaughton,"$10,739,683"
Buddy Hield,"$9,219,512"
Kyle Anderson,"$9,219,512"
Bennedict Mathurin,"$9,187,573"
Ace Bailey,"$9,069,840"
Naji Marshall,"$9,000,000"
Jalen Smith,"$9,000,000"
Ty Jerome,"$8,781,000"
Ausar Thompson,"$8,775,000"
Brook Lopez,"$8,750,000"
Quentin Grimes,"$8,741,209"
Ron Holland,"$8,657,280"
Sam Merrill,"$8,482,144"
Jaylin Williams,"$8,450,704"
Shaedon Sharpe,"$8,399,983"
Kelly Oubre Jr.,"$8,382,150"
Goga Bitadze,"$8,333,333"
Simone Fontecchio,"$8,307,692"
Tre Johnson,"$8,237,640"
Georges Niang,"$8,200,000"
Zeke Nnaji,"$8,177,778"
Deandre Ayton,"$33,654,814"
Tre Mann,"$8,000,000"
Tre Jones,"$8,000,000"
Kevon Looney,"$8,000,000"
Anthony Black,"$7,970,280"
Tidjane Salaün,"$7,863,240"
Max Christie,"$7,714,286"
Dyson Daniels,"$7,707,709"
Isaiah Jackson,"$7,600,000"
Jeremiah Fears,"$7,520,040"
Ayo Dosunmu,"$7,518,518"
Bilal Coulibaly,"$7,275,600"
Payton Pritchard,"$7,232,143"
Donovan Clingan,"$7,178,400"
Kenrich Williams,"$7,163,000"
Jeremy Sochan,"$7,874,853"
Tyus Jones,"$7,000,000"
Egor Dёmin,"$6,889,200"
Jevon Carter,"$7,680,524"
Clint Capela,"$6,700,000"
Ousmane Dieng,"$6,670,882"
Jarace Walker,"$6,665,520"
Dean Wade,"$6,623,456"
Jalen Williams,"$6,580,997"
Rob Dillingham,"$6,576,120"
Jalen Duren,"$6,483,144"
Ochai Agbaji,"$6,383,525"
Collin Murray-Boyles,"$6,332,520"
Mark Williams,"$6,276,531"
Day'Ron Sharpe,"$6,250,000"
Ziaire Williams,"$6,250,000"
John Konchar,"$6,165,000"
Taylor Hendricks,"$6,127,080"
Saddiq Bey,"$6,118,644"
Zach Edey,"$6,045,000"
Khaman Maluach,"$6,016,080"
Jaden Hardy,"$6,000,000"
