season,age,seasontype,team_id,team_alias,team_alias_all,player_id,player_name,pos_text,gp,roster_games,start,mp,rookie_year,inches,weight,mpg,off,def,tot,ewins,usg,tspct,efg,fgpct_rim,fgpct_mid,fg2pct,fg3pct,ftpct,orbpct,drbpct,astpct,topct,stlpct,blkpct,fga_rim_75,fga_mid_75,fg3a_75,fta_75,fga_75
2026,36,2,1610612744,"GSW","GSW",202710,"Jimmy Butler III","PF",39,73,39,1181.95,2011,78,230,30.2821,3.79497,0.546692,4.34166,5.87208,0.227691,0.650086,0.555315,0.644737,0.412162,0.553191,0.376471,0.869258,0.0840497,0.115493,0.24026,0.0933126,0.0221953,0.00616808,6.91468,4.48848,2.57784,8.58269,13.981
2026,31,2,1610612755,"PHI","PHI",203954,"Joel Embiid","C",34,73,34,1057.22,2016,84,270,31.0882,3.98994,0.262187,4.25213,5.18839,0.340169,0.610738,0.537277,0.653846,0.48495,0.548857,0.330882,0.860627,0.0709746,0.196653,0.215071,0.119385,0.00958466,0.0305085,6.20455,10.1932,4.63636,9.78409,21.0341
2026,25,2,1610612755,"PHI","PHI",1630178,"Tyrese Maxey","PG",61,73,61,2334.19,2020,74,200,38.2623,3.4646,0.614133,4.07874,11.1813,0.291466,0.59375,0.536677,0.623501,0.408488,0.521411,0.372694,0.892761,0.00824553,0.11377,0.292595,0.0904645,0.0257048,0.0198491,6.46044,5.84074,8.39703,5.77876,20.6982
2026,23,2,1610612763,"MEM","MEM",1641744,"Zach Edey","C",11,72,11,283.683,2024,87,305,25.7273,0.577456,3.38725,3.96471,1.3187,0.197674,0.675676,0.637755,0.741379,0.514286,0.655914,0.2,0.78125,0.174797,0.265993,0.0663265,0.183824,0.0118845,0.075,7.33558,4.42664,0.632378,4.04722,12.3946
2026,30,2,1610612744,"GSW","ATL,GSW",204001,"Kristaps Porzingis","C",27,75,17,611.565,2015,86,240,22.6296,2.58459,1.35141,3.936,2.9491,0.275839,0.574074,0.512698,0.597222,0.473684,0.521505,0.333333,0.834586,0.0565693,0.168142,0.168704,0.080292,0.0123172,0.0550459,4.15385,6.57692,7.44231,7.67308,18.1731
2026,37,2,1610612745,"HOU","HOU",201142,"Kevin Durant","PF",69,72,69,2523.1,2007,83,240,36.5652,3.18965,0.658497,3.84814,11.5323,0.264798,0.643319,0.584421,0.757576,0.533716,0.569361,0.410579,0.877451,0.0162896,0.146713,0.192188,0.13808,0.0115823,0.0221095,1.92945,10.1881,5.80296,5.96375,17.9205
2026,28,2,1610612762,"UTA","UTA",1628374,"Lauri Markkanen","PF",42,73,42,1442.7,2017,85,240,34.3333,3.37145,0.406125,3.77757,6.61684,0.271111,0.615005,0.548447,0.684015,0.402844,0.560417,0.353846,0.895522,0.0625931,0.150957,0.100907,0.0645492,0.0135309,0.0138614,6.51227,5.10813,7.86798,6.48806,19.4884
2026,28,2,1610612748,"MIA","MIA",1628389,"Bam Adebayo","C",64,73,64,2055.46,2017,81,260,32.1094,1.65422,1.92961,3.58383,9.15773,0.255353,0.549111,0.496562,0.658537,0.393701,0.507485,0.317143,0.775068,0.0673077,0.260664,0.134807,0.0830745,0.01703,0.0191281,4.87432,6.47079,5.94429,6.26698,17.2894
2026,27,2,1610612760,"OKC","OKC",1628392,"Isaiah Hartenstein","C",41,73,40,1019.92,2018,84,250,24.8537,0.668697,2.81858,3.48728,4.47744,0.158547,0.632686,0.622222,0.716763,0.488889,0.638783,0,0.585106,0.145251,0.267635,0.198966,0.195312,0.0200573,0.0322906,6.19628,3.2235,0.250716,3.36676,9.67049
2026,30,2,1610612752,"NYK","NYK",1626157,"Karl-Anthony Towns","C",69,74,69,2132.06,2015,84,248,30.8986,2.54778,0.880465,3.42825,9.53243,0.25556,0.619517,0.550626,0.591633,0.424242,0.550225,0.367698,0.856771,0.111228,0.31706,0.132743,0.13209,0.0138249,0.0179754,8.60571,2.82857,4.98857,6.58286,16.4229
2026,28,2,1610612743,"DEN","DEN",1627750,"Jamal Murray","PG",69,74,69,2422.55,2016,76,215,35.1014,5.15439,-1.75292,3.40148,10.638,0.276566,0.625714,0.569102,0.587814,0.481953,0.521333,0.426326,0.883657,0.0149328,0.122348,0.300803,0.101988,0.0124498,0.00923432,4.17498,7.04808,7.61672,5.40204,18.8398
2026,27,2,1610612747,"LAL","LAL",1630559,"Austin Reaves","SG",47,73,41,1630.72,2021,77,197,34.6809,3.08432,0.289295,3.37362,7.03341,0.260962,0.652302,0.569425,0.73,0.456731,0.590686,0.360656,0.869436,0.0233258,0.131102,0.23923,0.137475,0.015467,0.0107955,4.46561,4.64424,6.81006,7.52456,15.9199
2026,20,2,1610612766,"CHA","CHA",1642851,"Kon Knueppel","SF",72,73,71,2268.47,2025,78,215,31.5,3.44047,-0.154522,3.28595,9.64945,0.217479,0.655714,0.620457,0.619792,0.510309,0.564767,0.438475,0.862559,0.0442298,0.143617,0.163506,0.119128,0.0109772,0.00665362,3.07824,3.1103,9.25075,3.38286,15.4393
2026,23,2,1610612766,"CHA","CHA",1641706,"Brandon Miller","SG",56,73,56,1686.61,2023,79,200,30.1071,2.06145,1.06568,3.12713,6.99315,0.279412,0.577823,0.530871,0.638037,0.388889,0.478936,0.388158,0.901042,0.0404942,0.143408,0.181395,0.137719,0.0175387,0.0224534,3.55585,6.28272,9.94764,4.18848,19.7862
2026,24,2,1610612750,"MIN","MIN",1630162,"Anthony Edwards","SG",58,73,58,2060.79,2020,76,225,35.5172,3.73213,-0.636627,3.0955,8.50048,0.310254,0.62236,0.576114,0.684039,0.454545,0.556358,0.402415,0.795775,0.0195312,0.13708,0.173216,0.106701,0.018724,0.0206807,5.30408,6.65169,8.58673,7.36006,20.5425
2026,22,2,1610612765,"DET","DET",1641709,"Ausar Thompson","SG",64,73,63,1660.21,2023,79,205,25.9375,-1.1315,4.15434,3.02284,6.7665,0.172016,0.538007,0.525097,0.64,0.323529,0.531313,0.26087,0.563636,0.0912232,0.154707,0.147854,0.137026,0.0363636,0.0337678,7.18815,3.75995,0.508699,3.64937,11.4568
2026,30,2,1610612743,"DEN","DEN",203932,"Aaron Gordon","PF",31,74,28,851.618,2014,80,235,27.4516,2.8239,0.188049,3.01195,3.51212,0.223232,0.628362,0.580692,0.692913,0.360465,0.558685,0.410448,0.760274,0.0618132,0.171429,0.129296,0.0746606,0.0103627,0.00862069,5.45533,3.69416,5.75601,6.27148,14.9055
