Player,ewins,team_alias,pos_text,age,mpg,2025-26,production_value,diff
Nolan Traore,-1.88279,BKN,PG,19,22.2941,3811560,-7154602.0,-10966162.0
Jusuf Nurkic,2.10001,UTA,C,31,26.4146,19375000,7980038.000000001,-11394962.0
Maxi Kleber,-0.112454,LAL,C,33,10.6757,11000000,-427325.2,-11427325.2
Obi Toppin,0.651625,IND,PF,27,17.1176,14000000,2476175.0,-11523825.0
Josh Giddey,3.54434,CHI,PG,23,32.1538,25000000,13468492.0,-11531508.0
Tre Mann,-0.936094,CHA,PG,24,13.2653,8000000,-3557157.1999999997,-11557157.2
Rob Dillingham,-1.35766,CHI,PG,21,13.5439,6576120,-5159108.0,-11735228.0
Gabe Vincent,-0.0667467,ATL,PG,29,17.0851,11500000,-253637.46000000002,-11753637.46
Andrew Wiggins,4.3157,MIA,SF,30,30.5738,28223215,16399659.999999998,-11823555.000000002
Tobias Harris,3.79956,DET,PF,33,28.2456,26634146,14438328.0,-12195818.0
Kelly Olynyk,0.308762,SAS,C,34,8.70732,13445122,1173295.5999999999,-12271826.4
Bub Carrington,-2.07392,WAS,SG,20,27.5676,4677600,-7880896.000000001,-12558496.0
Corey Kispert,0.32948,ATL,SF,26,18.8704,13975000,1252024.0,-12722976.0
Jonathan Isaac,0.564751,ORL,PF,28,10.0,15000000,2146053.8,-12853946.2
Alperen Sengun,5.50855,HOU,C,23,33.6,33944954,20932490.0,-13012464.0
Anthony Edwards,8.46794,MIN,SG,24,35.5172,45550512,32178172.0,-13372340.0
Caris LeVert,0.163295,DET,SF,31,19.3962,14104000,620521.0,-13483479.0
Kyle Kuzma,2.32471,MIL,PF,30,26.3692,22410605,8833898.0,-13576707.0
DeMar DeRozan,2.87492,SAC,SF,36,31.5811,24570000,10924696.0,-13645304.0
Max Strus,0.473146,CLE,PF,29,23.8333,15936452,1797954.8,-14138497.2
Jrue Holiday,4.73008,POR,PG,35,28.8511,32400000,17974304.0,-14425696.0
Nic Claxton,2.86064,BKN,C,26,27.9552,25352272,10870432.0,-14481840.0
Dorian Finney-Smith,-0.538353,HOU,SF,32,16.8571,12700000,-2045741.4,-14745741.4
Rui Hachimura,0.880353,LAL,PF,27,28.4833,18259259,3345341.4000000004,-14913917.6
Michael Porter Jr.,6.0486,BKN,SF,27,32.4615,38333050,22984680.0,-15348370.0
Malik Monk,0.865399,SAC,SF,27,22.3966,18797619,3288516.2,-15509102.8
Myles Turner,2.5796,MIL,C,29,27.1194,25318251,9802480.0,-15515771.0
Bogdan Bogdanovic,0.122566,LAC,SG,33,20.381,16020000,465750.8,-15554249.2
John Collins,2.81329,LAC,PF,28,27.4516,26580000,10690502.0,-15889498.0
Zach Collins,0.427638,CHI,C,28,18.3,18080496,1625024.4000000001,-16455471.6
Karl-Anthony Towns,9.48413,NYK,C,30,30.9429,53142264,36039694.0,-17102570.0
Jalen Suggs,4.56208,ORL,PG,24,27.0816,35000000,17335904.0,-17664096.0
Anfernee Simons,2.57528,CHI,SG,26,24.9455,27678571,9786064.0,-17892507.0
Kristaps Porzingis,3.2836,GSW,C,30,23.069,30731707,12477680.0,-18254027.0
Jerami Grant,3.56463,POR,PF,31,29.2414,32000001,13545594.0,-18454407.0
Zion Williamson,5.46022,NOP,PF,25,29.7458,39446090,20748836.0,-18697254.0
Jaren Jackson Jr.,4.00097,UTA,PF,26,30.2917,35000000,15203685.999999998,-19796314.0
De'Andre Hunter,0.850179,SAC,SF,28,26.1111,23303571,3230680.2,-20072890.8
Draymond Green,1.41194,GSW,PF,35,27.5161,25892857,5365372.0,-20527485.0
Kentavious Caldwell-Pope,0.277925,MEM,SG,32,21.3333,21621500,1056115.0,-20565385.0
Evan Mobley,6.68457,CLE,C,24,32.339,46394100,25401366.0,-20992734.0
Lauri Markkanen,6.62362,UTA,PF,28,34.3333,46394100,25169756.0,-21224344.0
Tyler Herro,2.46281,MIA,SG,25,31.0357,31000000,9358678.0,-21641322.0
Jonathan Kuminga,0.553001,ATL,PF,23,23.0667,23799569,2101403.8,-21698165.2
Brandon Ingram,4.02958,TOR,SF,28,34.0,38095238,15312404.0,-22782834.0
Patrick Williams,-1.3142,CHI,PF,24,19.6875,18000000,-4993960.0,-22993960.0
Deandre Ayton,2.57374,LAL,C,27,27.4844,33654814,9780212.0,-23874602.0
Deandre Ayton,2.57374,LAL,C,27,27.4844,33654814,9780212.0,-23874602.0
Pascal Siakam,5.60386,IND,PF,31,33.35,45550512,21294668.0,-24255844.0
Jaylen Brown,7.48776,BOS,SF,29,34.2769,53142264,28453488.0,-24688776.0
Darius Garland,3.83104,LAC,PG,25,29.6667,39446090,14557952.0,-24888138.0
Bradley Beal,-0.049013,LAC,SG,32,20.0,24737010,-186249.4,-24923259.4
Bradley Beal,-0.049013,LAC,SG,32,20.0,24737010,-186249.4,-24923259.4
Devin Booker,7.20867,PHX,SG,29,33.3966,53142264,27392946.0,-25749318.0
Dejounte Murray,1.30776,NOP,PG,29,27.7692,30801103,4969488.0,-25831615.0
Franz Wagner,3.35918,ORL,PF,24,31.8214,38661750,12764884.0,-25896866.0
Giannis Antetokounmpo,7.21594,MIL,PF,31,28.8611,54126450,27420572.0,-26705878.0
Jalen Green,1.60198,PHX,SG,23,26.0769,33584499,6087524.0,-27496975.0
Khris Middleton,0.646869,DAL,PF,34,23.5636,33296296,2458102.2,-30838193.8
Jordan Poole,0.048735,NOP,SG,26,23.5676,31848215,185193.0,-31663022.0
Jimmy Butler III,5.8723,GSW,PF,36,30.2821,54126450,22314740.0,-31811710.0
LeBron James,5.01866,LAL,SF,41,33.5849,52627153,19070908.0,-33556245.0
Stephen Curry,6.76963,GSW,PG,37,31.3077,59606817,25724594.0,-33882223.0
Joel Embiid,5.34467,PHI,C,31,31.2286,55224526,20309746.0,-34914780.0
Ja Morant,1.12413,MEM,PG,26,28.4,39446090,4271694.0,-35174396.0
Paul George,3.3811,PHI,SF,35,30.5517,51666090,12848180.0,-38817910.0
Domantas Sabonis,0.738557,SAC,C,29,29.6316,42336000,2806516.6,-39529483.4
Zach LaVine,1.7219,SAC,SG,30,31.3846,47499660,6543220.0,-40956440.0
Trae Young,1.355,WAS,PG,27,25.5333,46394100,5149000.0,-41245100.0
Anthony Davis,2.07137,WAS,C,32,31.25,54126450,7871206.0,-46255244.0
Jayson Tatum,1.08924,BOS,PF,27,30.9091,54126450,4139112.0,-49987338.0
