Player,ewins,team_alias,pos_text,age,mpg,2025-26,production_value,diff
Maxime Raynaud,-0.172039,SAC,C,22,26.1176,1272870,-653748.2,-1926618.2
Cam Christie,0.0062817,LAC,SG,20,9.2449,1955377,23870.460000000003,-1931506.54
Jase Richardson,0.27273,ORL,PG,20,11.449,2983320,1036373.9999999999,-1946946.0
Andre Drummond,0.798945,PHI,C,32,19.4643,5000000,3035991.0,-1964009.0
Marcus Smart,4.72084,LAL,SG,31,28.75,19920855,17939192.0,-1981663.0
Marcus Smart,4.72084,LAL,SG,31,28.75,19920855,17939192.0,-1981663.0
Eric Gordon,0.0780368,PHI,SF,37,12.1667,2296274,296539.84,-1999734.16
Robert Williams III,2.96925,POR,C,28,16.8113,13285713,11283150.0,-2002563.0
Shaedon Sharpe,1.6736,POR,SG,22,29.4694,8399983,6359680.0,-2040303.0
Bobi Klintman,-0.0328288,DET,PF,22,5.91667,1955377,-124749.43999999999,-2080126.44
Jonathan Mogbo,-0.0525523,TOR,PF,24,6.26471,1955377,-199698.74000000002,-2155075.74
Thanasis Antetokounmpo,0.0162425,MIL,PF,33,3.63333,2296274,61721.5,-2234552.5
Chris Boucher,0.0118814,BOS,C,33,9.5,2296274,45149.32,-2251124.68
Larry Nance Jr.,-0.00740127,CLE,C,33,11.8667,2296274,-28124.825999999997,-2324398.826
Micah Peavy,-0.286082,NOP,SF,24,13.2182,1272870,-1087111.6,-2359981.6
Bronny James,-0.121103,LAL,PG,21,6.88571,1955377,-460191.4,-2415568.4
Kawhi Leonard,12.5195,LAC,SF,34,32.0339,50000000,47574100.0,-2425900.0
Bennedict Mathurin,1.77785,LAC,SG,23,30.9574,9187573,6755830.0,-2431743.0
Garrett Temple,-0.0417618,TOR,SG,39,3.35,2296274,-158694.84,-2454968.84
Hunter Tyson,-0.0666607,DEN,PF,25,7.66667,2221677,-253310.66,-2474987.66
Jae'Sean Tate,-0.0479544,HOU,SF,30,8.38461,2296274,-182226.72,-2478500.72
Pacome Dadiet,0.0958786,NYK,SF,20,3.72,2847600,364338.68,-2483261.32
Moritz Wagner,0.655186,ORL,C,28,12.625,5000000,2489706.8000000003,-2510293.1999999997
Keldon Johnson,3.93508,SAS,PF,26,23.1757,17500000,14953304.0,-2546696.0
Chris Paul,-0.0686084,TOR,PG,40,14.1875,2296274,-260711.92,-2556985.92
Mason Plumlee,0.116284,SAS,C,35,8.27778,3022108,441879.2,-2580228.8
Mason Plumlee,0.116284,SAS,C,35,8.27778,3022108,441879.2,-2580228.8
Mason Plumlee,0.116284,SAS,C,35,8.27778,3022108,441879.2,-2580228.8
Lindy Waters III,-0.0821155,SAS,SG,28,7.15385,2296274,-312038.89999999997,-2608312.9
Kevin Love,0.394828,UTA,C,37,16.5405,4150000,1500346.4000000001,-2649653.5999999996
Joe Ingles,-0.0930561,MIN,SF,38,4.08,2296274,-353613.18,-2649887.18
Tony Bradley,0.144154,IND,C,28,11.2632,3204816,547785.2000000001,-2657030.8
Tony Bradley,0.144154,IND,C,28,11.2632,3204816,547785.2000000001,-2657030.8
Tony Bradley,0.144154,IND,C,28,11.2632,3204816,547785.2000000001,-2657030.8
Yanic Konan Niederhauser,0.0182917,LAC,C,22,10.3171,2743800,69508.46,-2674291.54
Kyle Lowry,-0.11835,PHI,PG,39,8.21429,2296274,-449730.0,-2746004.0
Bam Adebayo,9.0327,MIA,C,28,32.1061,37096620,34324260.0,-2772360.0
Taurean Prince,0.125012,MIL,SF,31,21.5263,3303774,475045.60000000003,-2828728.4
Xavier Tillman,-0.101362,CHA,C,27,6.11538,2546675,-385175.6,-2931850.6
Derik Queen,0.582455,NOP,PF,21,24.4267,5157960,2213329.0,-2944631.0
Jordan McLaughlin,-0.180108,SAS,PG,29,6.525,2296274,-684410.3999999999,-2980684.4
Julius Randle,7.33501,MIN,PF,31,33.0811,30864198,27873038.0,-2991160.0
Ben Sheppard,-0.0529774,IND,SG,24,21.5238,2790720,-201314.12,-2992034.12
Nick Smith Jr.,-0.084402,LAL,SG,21,12.72,2710680,-320727.60000000003,-3031407.6
Aaron Wiggins,1.85793,OKC,SF,27,22.3966,10102803,7060134.0,-3042669.0
Walker Kessler,0.477231,UTA,C,24,30.6,4878938,1813477.8,-3065460.2
Kobe Brown,-0.112282,IND,PF,26,14.3273,2654880,-426671.60000000003,-3081551.6
Carter Bryant,0.472863,SAS,SF,20,10.8889,4900320,1796879.4,-3103440.6
Bismack Biyombo,-0.215188,SAS,C,33,5.73913,2296274,-817714.3999999999,-3113988.4
Aaron Nesmith,2.07128,IND,SG,26,29.6444,11000000,7870863.999999999,-3129136.000000001
Andre Jackson Jr.,-0.239502,MIL,SF,24,7.39024,2221677,-910107.6,-3131784.6
Nigel Hayes-Davis,-0.295247,PHX,SF,31,7.22222,2048494,-1121938.5999999999,-3170432.5999999996
Anthony Gill,-0.234875,WAS,C,33,14.8511,2296274,-892525.0,-3188799.0
Nikola Jovic,0.323021,MIA,PF,22,17.2826,4445417,1227479.8,-3217937.2
Donovan Mitchell,11.3454,CLE,SG,29,33.5385,46394100,43112520.0,-3281580.0
Nique Clifford,-0.105822,SAC,SG,23,24.058,3108120,-402123.6,-3510243.6
Joan Beringer,0.152526,MIN,C,19,6.55882,4201080,579598.7999999999,-3621481.2
Terrence Shannon Jr.,-0.264127,MIN,SF,25,11.5143,2674080,-1003682.6,-3677762.6
D'Angelo Russell,0.485185,WAS,PG,29,19.0,5685000,1843703.0,-3841297.0
Kam Jones,-0.68321,IND,SG,23,15.3226,1272870,-2596198.0,-3869068.0
Immanuel Quickley,7.5268,TOR,PG,26,32.4328,32500000,28601840.0,-3898160.0
Drew Eubanks,-0.423584,SAC,C,28,13.1429,2296274,-1609619.2,-3905893.2
Guerschon Yabusele,0.395102,CHI,C,30,13.9672,5500000,1501387.6,-3998612.4
Jaden Hardy,0.526219,WAS,SG,23,15.3077,6000000,1999632.2,-4000367.8
Alex Sarr,2.05359,WAS,C,20,27.1667,11808240,7803641.999999999,-4004598.000000001
Jalen Wilson,-0.490535,BKN,PF,25,14.7292,2221677,-1864033.0,-4085710.0
Cam Whitmore,-0.143999,WAS,PF,21,16.8571,3539760,-547196.2,-4086956.2
Kenrich Williams,0.774433,OKC,PF,31,15.3061,7163000,2942845.4000000004,-4220154.6
Jett Howard,0.317944,ORL,SG,22,12.7692,5529720,1208187.2,-4321532.8
Gradey Dick,0.166661,TOR,SF,22,14.942,4990560,633311.8,-4357248.2
Malaki Branham,0.151884,CHA,PG,22,9.51724,4962033,577159.2,-4384873.8
John Konchar,0.462094,UTA,SF,29,18.3265,6165000,1755957.2,-4409042.8
Dalen Terry,0.260322,PHI,SF,23,11.617,5399118,989223.6,-4409894.4
Andrew Nembhard,3.59714,IND,PG,25,31.3158,18102000,13669132.0,-4432868.0
Jamal Murray,10.9905,DEN,PG,28,35.1549,46394100,41763900.0,-4630200.0
LaMelo Ball,8.71036,CHA,PG,24,27.7692,37958760,33099368.0,-4859392.0
Harrison Barnes,3.70214,SAS,PF,33,26.2029,19000000,14068132.0,-4931868.0
Devin Vassell,5.79701,SAS,SG,25,30.4407,27000000,22028638.0,-4971362.0
Isaiah Stewart,2.63177,DET,C,24,23.3636,15000000,10000726.0,-4999274.0
Isaiah Jackson,0.665132,LAC,C,24,16.5091,7600000,2527501.5999999996,-5072498.4
Dereck Lively II,0.0456925,DAL,C,21,16.4286,5253360,173631.5,-5079728.5
Tidjane Salaun,0.724469,CHA,PF,20,15.8611,7863240,2752982.2,-5110257.8
Jonas Valanciunas,1.38597,DEN,C,33,13.1864,10395000,5266686.0,-5128314.0
Herbert Jones,2.28261,NOP,SG,27,29.0755,13937574,8673918.0,-5263656.0
Nicolas Batum,0.0701426,LAC,PF,37,18.1159,5601600,266541.88,-5335058.12
Devin Carter,-0.111034,SAC,PG,23,16.2188,4923720,-421929.19999999995,-5345649.2
Nikola Topic,-0.0507083,OKC,PG,20,10.4,5182920,-192691.53999999998,-5375611.54
Gary Harris,-0.467836,MIL,SG,31,13.6889,3634153,-1777776.7999999998,-5411929.8
Dillon Brooks,4.12883,PHX,PF,29,30.6,21124110,15689554.0,-5434556.0
Dalton Knecht,-0.378864,LAL,SF,24,10.4082,4010160,-1439683.2,-5449843.2
Isaac Okoro,1.43694,CHI,SF,24,26.9483,11000000,5460372.0,-5539628.0
James Harden,8.84114,CLE,PG,36,35.0312,39182693,33596332.0,-5586361.0
Haywood Highsmith,0.218204,PHX,SF,29,13.3333,6443984,829175.2000000001,-5614808.8
Haywood Highsmith,0.218204,PHX,SF,29,13.3333,6443984,829175.2000000001,-5614808.8
Kobe Bufkin,-0.0398119,LAL,SG,22,8.18182,5480297,-151285.22,-5631582.22
Kobe Bufkin,-0.0398119,LAL,SG,22,8.18182,5480297,-151285.22,-5631582.22
Kobe Bufkin,-0.0398119,LAL,SG,22,8.18182,5480297,-151285.22,-5631582.22
Kobe Bufkin,-0.0398119,LAL,SG,22,8.18182,5480297,-151285.22,-5631582.22
Cade Cunningham,10.6633,DET,PG,24,34.3607,46394100,40520540.0,-5873560.0
P.J. Washington,2.17,DAL,PF,27,30.4643,14152174,8246000.0,-5906174.0
Ace Bailey,0.814256,UTA,SF,19,27.1818,9069840,3094172.8,-5975667.2
Trendon Watford,-0.936743,PHI,PF,25,16.98,2461463,-3559623.4,-6021086.4
Isaiah Collier,-0.894383,UTA,PG,21,25.7119,2638200,-3398655.4000000004,-6036855.4
Naz Reid,4.06079,MIN,C,26,26.0563,21551724,15431002.0,-6120722.0
Nikola Vucevic,3.99764,BOS,C,35,29.0,21481481,15191032.0,-6290449.0
Khaman Maluach,-0.0831655,PHX,C,19,8.28205,6016080,-316028.9,-6332108.9
Ochai Agbaji,0.00311762,BKN,SF,25,15.75,6383525,11846.956,-6371678.044
AJ Johnson,-0.871247,DAL,SG,21,8.85366,3090480,-3310738.6,-6401218.6
Walter Clayton Jr.,-0.681194,MEM,SG,22,19.7846,3991320,-2588537.1999999997,-6579857.199999999
Gary Trent Jr.,-0.762088,MIL,SF,26,21.4032,3697105,-2895934.4,-6593039.4
Taylor Hendricks,-0.136408,MEM,PF,22,18.9091,6127080,-518350.4,-6645430.4
Blake Wesley,-0.284778,POR,PG,22,12.5714,5643732,-1082156.4,-6725888.4
Blake Wesley,-0.284778,POR,PG,22,12.5714,5643732,-1082156.4,-6725888.4
Cameron Johnson,3.76798,DEN,SF,29,30.12,21057065,14318324.0,-6738741.0
Zeke Nnaji,0.375776,DEN,C,25,11.78,8177778,1427948.8,-6749829.2
Luke Kennard,1.09855,LAL,SG,29,20.9429,11000000,4174489.9999999995,-6825510.0
Bruce Brown,-1.19348,DEN,SG,29,24.4079,2296274,-4535224.0,-6831498.0
Rudy Gobert,7.39304,MIN,C,33,31.4366,35000000,28093552.0,-6906448.0
Buddy Hield,0.605046,ATL,SF,33,16.2041,9219512,2299174.8,-6920337.2
Tre Johnson,0.34276,WAS,SG,19,24.0351,8237640,1302488.0,-6935152.0
Jevon Carter,0.146258,ORL,PG,30,15.9556,7680524,555780.4,-7124743.6
Jevon Carter,0.146258,ORL,PG,30,15.9556,7680524,555780.4,-7124743.6
Miles Bridges,4.67077,CHA,PF,27,31.4,25000000,17748926.0,-7251074.0
Desmond Bane,7.7279,ORL,SG,27,34.1081,36725670,29366020.0,-7359650.0
Yang Hansen,-0.799613,POR,C,20,7.21951,4422360,-3038529.4,-7460889.4
Kevon Looney,0.129292,NOP,C,29,13.3684,8000000,491309.6,-7508690.4
Cole Anthony,-0.438951,PHX,PG,25,15.0286,5996274,-1668013.7999999998,-7664287.8
Cole Anthony,-0.438951,PHX,PG,25,15.0286,5996274,-1668013.7999999998,-7664287.8
