Player,team_alias,ewins,2025-26,diff
Victor Wembanyama,SAS,13.487,13376880,37873720.0
Jalen Duren,DET,9.62928,6483144,30108120.0
Collin Gillespie,PHX,7.83112,2296274,27461982.0
Kon Knueppel,CHA,9.64945,10015680,26652230.0
Shai Gilgeous-Alexander,OKC,16.9656,38333050,26136229.999999993
Amen Thompson,HOU,9.37232,9690600,25924216.0
Dyson Daniels,ATL,8.23497,7707709,23585177.000000004
Neemias Queta,BOS,6.7712,2349578,23380982.0
Donovan Clingan,POR,7.69028,7178400,22044664.0
Ryan Rollins,MIL,5.8732,4000000,18318160.0
Donte DiVincenzo,MIN,7.59079,11990000,16855002.0
Sandro Mamukelashvili,TOR,4.53471,2461463,14770435.0
Jaylon Tyson,CLE,4.44347,3492480,13392706.0
Saddiq Bey,NOP,5.01639,6118644,12943638.0
Austin Reaves,LAL,7.03341,13937574,12789384.0
Matas Buzelis,CHI,4.47423,5455560,11546514.0
Cam Spencer,MEM,3.68915,2537989,11480781.0
Brandin Podziemski,GSW,3.95485,3687960,11340470.0
Wendell Carter Jr.,ORL,5.80666,10850000,11215308.0
Kris Dunn,LAC,4.29115,5426400,10879970.0
Pelle Larsson,MIA,3.3553,1955377,10794763.0
Keyonte George,UTA,3.87861,4278960,10459758.0
VJ Edgecombe,PHI,5.34583,11108880,9205274.0
Miles McBride,NYK,3.47782,4333333,8882383.0
Russell Westbrook,SAC,2.88881,2296274,8681204.0
Peyton Watson,DEN,3.37768,4356476,8478708.0
Day'Ron Sharpe,BKN,3.32534,6250000,6386292.0
Naji Marshall,DAL,3.96839,9000000,6079882.0
Kyshawn George,WAS,2.07094,2966760,4902811.999999999
Jay Huff,IND,0.861192,2349578,922951.5999999996
