season,age,seasontype,team_id,team_alias,team_alias_all,player_id,player_name,pos_text,gp,roster_games,start,mp,rookie_year,inches,weight,mpg,off,def,tot,ewins,usg,tspct,efg,fgpct_rim,fgpct_mid,fg2pct,fg3pct,ftpct,orbpct,drbpct,astpct,topct,stlpct,blkpct,fga_rim_75,fga_mid_75,fg3a_75,fta_75,fga_75
2026,20,2,1610612766,"CHA","CHA",1642851,"Kon Knueppel","SF",74,75,73,2336.57,2025,78,215,31.5676,3.2756,-0.195772,3.07983,9.61673,0.217083,0.649212,0.613636,0.614213,0.505,0.559194,0.43339,0.861111,0.0436061,0.14602,0.16127,0.119184,0.0106784,0.00647866,3.073,3.1198,9.25021,3.36938,15.443
2026,22,2,1610612765,"DET","DET",1631105,"Jalen Duren","C",64,74,64,1805.83,2022,82,250,28.2031,3.34148,1.62038,4.96186,9.60324,0.232489,0.68232,0.642276,0.691002,0.449664,0.642276,,0.747396,0.152934,0.264634,0.0974188,0.111874,0.0147849,0.0302697,11.8718,3.00322,0,7.73985,14.875
2026,29,2,1610612752,"NYK","NYK",1628973,"Jalen Brunson","PG",69,75,69,2415.51,2018,74,190,35,4.06738,-1.30239,2.76499,9.58703,0.297099,0.588809,0.532852,0.597345,0.490909,0.518059,0.372745,0.843434,0.0138249,0.094993,0.300457,0.0958824,0.0105713,0.00337838,3.42217,9.99394,7.55603,5.99637,20.9721
2026,30,2,1610612752,"NYK","NYK",1626157,"Karl-Anthony Towns","C",70,75,70,2166.17,2015,84,248,30.9429,2.4895,0.890775,3.38027,9.48413,0.254496,0.620124,0.550672,0.590551,0.431138,0.551111,0.366438,0.858612,0.11312,0.318488,0.132482,0.133641,0.0138479,0.0176662,8.57529,2.81904,4.9291,6.56651,16.3234
2026,28,2,1610612748,"MIA","MIA",1628389,"Bam Adebayo","C",66,75,66,2119.1,2017,81,260,32.1061,1.44476,1.85191,3.29666,9.0327,0.255536,0.544782,0.491412,0.663265,0.386768,0.505095,0.310249,0.776903,0.0656863,0.267418,0.134855,0.0828937,0.0167217,0.0193548,4.84083,6.47091,5.94402,6.27333,17.2558
2026,36,2,1610612739,"CLE","CLE,LAC",201935,"James Harden","PG",64,72,64,2242.38,2009,77,220,35.0312,4.32835,-1.26137,3.06698,8.84114,0.281957,0.623577,0.529412,0.588462,0.40081,0.497041,0.373585,0.886179,0.0209452,0.1412,0.351626,0.156379,0.0160475,0.0109937,4.27913,4.06517,8.72284,8.09743,17.0672
2026,24,2,1610612766,"CHA","CHA",1630163,"LaMelo Ball","PG",65,75,62,1805.19,2020,79,180,27.7692,4.5258,-0.397962,4.12784,8.71036,0.307396,0.542942,0.509383,0.53886,0.396364,0.455128,0.365591,0.895425,0.0361146,0.156753,0.382107,0.132103,0.0212882,0.00813421,3.89427,5.54883,13.1356,3.08717,22.5787
2026,29,2,1610612752,"NYK","NYK",1628969,"Mikal Bridges","SF",75,75,75,2503.24,2018,78,209,33.3733,0.68757,1.2731,1.96067,8.51577,0.172959,0.585729,0.567329,0.733032,0.448276,0.571429,0.374684,0.818182,0.0327144,0.0979789,0.161435,0.0766962,0.0198986,0.0238379,3.25639,4.27308,5.82024,1.29666,13.3497
2026,24,2,1610612750,"MIN","MIN",1630162,"Anthony Edwards","SG",58,74,58,2060.79,2020,76,225,35.5172,3.79161,-0.639605,3.15201,8.46794,0.310254,0.62236,0.576114,0.684039,0.454545,0.556358,0.402415,0.795775,0.0195312,0.13708,0.173216,0.106701,0.018724,0.0206807,5.30408,6.65169,8.58673,7.36006,20.5425
2026,22,2,1610612737,"ATL","ATL",1630700,"Dyson Daniels","SG",70,75,70,2321.16,2022,79,199,33.1571,0.0107196,2.36358,2.3743,8.44467,0.158318,0.540843,0.527273,0.64411,0.450704,0.576797,0.15534,0.614679,0.0774648,0.143128,0.230512,0.142373,0.0272727,0.0116686,6.07491,3.243,1.56821,1.65956,10.8861
2026,25,2,1610612740,"NOP","NOP",1630530,"Trey Murphy III","SF",64,76,64,2272.52,2021,80,206,35.5,2.73895,-0.598159,2.14079,8.01396,0.225437,0.617988,0.574219,0.711268,0.365591,0.574468,0.382671,0.883333,0.0301147,0.14703,0.15979,0.0936239,0.0205193,0.00914001,4.45141,2.91536,8.68339,3.76176,16.0502
2026,27,2,1610612737,"ATL","ATL",1629638,"Nickeil Alexander-Walker","PG",72,75,65,2390.53,2019,77,205,33.1944,1.89408,-0.0102688,1.88381,7.90334,0.233208,0.604013,0.552871,0.596091,0.4,0.515326,0.391304,0.903448,0.021515,0.0911565,0.158235,0.107456,0.0185149,0.0132792,4.46134,3.12439,8.35594,4.2143,15.9417
2026,21,2,1610612757,"POR","POR",1642270,"Donovan Clingan","C",71,76,71,1932.11,2024,86,280,27.2113,1.83997,1.11591,2.95588,7.89379,0.165608,0.602368,0.579779,0.657609,0.325581,0.622871,0.333333,0.675258,0.173077,0.284676,0.113109,0.111386,0.010126,0.0564366,6.78299,0.792578,4.09191,3.57582,11.6675
2026,28,2,1610612752,"NYK","NYK",1628384,"OG Anunoby","PF",61,75,61,2026.93,2017,79,240,33.2131,1.12082,1.40622,2.52704,7.73353,0.196332,0.615152,0.5797,0.677083,0.290698,0.588235,0.380556,0.81592,0.0438889,0.126575,0.0925926,0.124204,0.0236899,0.0210738,5.17365,1.54491,6.46707,3.61078,13.1856
2026,27,2,1610612753,"ORL","ORL",1630217,"Desmond Bane","SG",74,74,74,2524.82,2020,78,215,34.1081,1.82651,-0.243992,1.58251,7.7279,0.2261,0.615669,0.5549,0.608142,0.454829,0.539216,0.389175,0.923588,0.0397,0.0961027,0.191595,0.108266,0.0142153,0.0109386,5.58556,4.56225,5.5145,4.278,15.6623
2026,26,2,1610612756,"PHX","PHX",1631221,"Collin Gillespie","PG",73,74,54,2107.88,2023,73,195,28.863,1.99838,0.432704,2.43109,7.64644,0.184646,0.590741,0.567394,0.515625,0.434066,0.455285,0.412758,0.869048,0.0397554,0.12549,0.233513,0.12527,0.021729,0.00681199,1.11395,3.16779,9.27709,1.46206,13.5588
2026,28,2,1610612750,"MIN","MIN",1628978,"Donte DiVincenzo","PG",74,74,74,2290.35,2018,76,203,30.9459,1.1227,0.86652,1.98922,7.63241,0.165241,0.575815,0.556579,0.537815,0.433333,0.502793,0.3821,0.760417,0.0318784,0.116067,0.168187,0.121145,0.0205693,0.0112655,1.85397,0.934774,9.05172,1.49564,11.8405
2026,28,2,1610612759,"SAS","SAS",1628368,"De'Aaron Fox","PG",64,74,64,1991.62,2017,75,185,31.1094,2.42369,0.147328,2.57102,7.52873,0.245072,0.580676,0.551447,0.668085,0.51585,0.57732,0.339031,0.762115,0.0207537,0.104935,0.291971,0.123624,0.0181433,0.00756564,4.16765,6.15394,6.22488,4.02577,16.5465
