age_group,avg_salary,avg_ewins,avg_diff,num_players,cost_per_ewin
19-22,5196256.089108911,1.489449692079208,463652.7407920792,101,3488708
23-25,8601005.93006993,2.1105327932167834,-580981.3158461539,143,4075277
26-28,14761083.39,2.9794114769999998,-3439319.7774,100,4954362
29-31,17839029.92857143,2.850145316885714,-7008477.724405714,70,6258989
32-35,15365881.195652174,1.7054524745652173,-8885161.792304348,46,9009855
36+,17517593.2,2.515180655,-7959906.711,20,6964745
