pos_text,avg_salary,avg_ewins,avg_diff,num_players,cost_per_ewin
SF,9467494.460784314,1.9149692609803923,-2190611.2690588236,102,4943940
C,11006517.607476635,2.2828503013084114,-2331686.462504673,107,4821392
SG,10704285.288461538,2.1993103275,-2346906.0439615385,104,4867110
PG,13894079.97368421,2.819735291855263,-3179085.8646342107,76,4927441
PF,13452867.901098901,1.953083653846154,-6031150.016483516,91,6888014
