,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attend./G,Season,Win%,Champion
0,San Antonio Spurs,0.07798165137614665,0.041942604856512355,0.03534303534303529,-0.2500000000000001,-0.1071428571428571,-0.10000000000000009,0.0815850815850816,0.04550625711035261,0.0348360655737705,0.15962441314553977,0.1079136690647482,0.048429319371727786,-0.06622516556291391,0.026755852842809347,-0.00445434298440972,0.10077519379844957,0.0,-0.2264150943396227,0.02645502645502651,0.049180327868852514,0.09240622140896626,0.015094339622641506,41.0,41.0,-0.024390243902439046,0.024390243902439046,-0.38,0.13,-0.24,0.031339031339031376,0.03513770180436859,-0.4,0.06207565470417076,0.06514657980456029,-0.12903225806451613,0.04143126177024481,0.03292181069958855,-0.01935483870967747,-0.05074626865671639,0.11489361702127665,0.04115226337448563,-0.07096774193548383,0.004511278195488577,-0.08085106382978724,-0.34557377049180327,1979-80,0.5,0
1,Los Angeles Lakers,0.08944954128440363,-0.007726269315673218,0.0997920997920998,-0.75,-0.5714285714285714,-0.2857142857142857,0.10256410256410264,0.00796359499431154,0.09426229508196737,-0.07042253521126762,-0.08273381294964033,0.014397905759162333,-0.1258278145695364,0.08361204013377921,0.015590200445434466,0.13953488372093004,0.0,0.2641509433962266,0.058201058201058364,-0.10655737704918022,0.05306495882891116,-0.01132075471698113,60.0,22.0,0.3414634146341464,-0.3414634146341463,5.9,-0.51,5.4,0.03988603988603989,-0.013295346628679927,5.6,0.009699321047526688,-0.07491856677524433,-0.5483870967741935,0.07156308851224091,0.09053497942386834,0.06451612903225801,-0.02686567164179099,-0.06382978723404253,-0.02263374485596714,-0.09677419354838712,0.00601503759398514,-0.2297872340425532,-0.72,1979-80,0.7317073170731707,1
2,Cleveland Cavaliers,0.0665137614678899,0.08278145695364247,-0.01455301455301461,-0.5,-0.1785714285714286,-0.3107142857142857,0.07226107226107237,0.08987485779294646,-0.014344262295082011,-0.023474178403755874,-0.03237410071942448,0.010471204188481575,0.052980132450331174,-0.030100334448160515,0.00222717149220486,-0.003875968992248069,-0.010638297872340385,-0.2075471698113207,-0.1164021164021164,-0.032786885245901565,0.043915827996340306,0.03396226415094339,37.0,45.0,0.024390243902439046,-0.024390243902439046,0.34,0.09,0.43,0.013295346628680038,0.010446343779677125,0.3,0.02424830261881672,-0.10749185667752437,-0.25806451612903225,-0.02259887005649719,-0.020576131687242816,-0.1483870967741936,-0.011940298507462699,-0.09787234042553183,0.039094650205761416,0.05161290322580658,-0.009022556390977376,-0.08085106382978724,-0.22032786885245903,1979-80,0.45121951219512196,0
3,New York Knicks,0.06422018348623837,0.0331125827814569,0.031185031185031242,-0.375,-0.1785714285714286,-0.2142857142857143,0.06993006993007,0.03754266211604085,0.03073770491803285,-0.028169014084507116,-0.003597122302158362,-0.022251308900523625,0.0,-0.06020066889632103,-0.03786191536748318,0.06976744186046524,0.13829787234042534,0.05660377358490565,0.042328042328042326,0.08196721311475419,0.04300091491308322,-0.09056603773584904,39.0,43.0,-0.07317073170731703,0.07317073170731714,-1.15,0.19,-0.96,0.01139601139601143,0.02089268755935425,-1.0,0.032977691561590694,-0.03583061889250816,-0.19354838709677413,0.015065913370998052,0.024691358024691468,0.012903225806451646,0.005970149253731405,-0.05957446808510636,0.024691358024691468,0.05806451612903207,-0.03759398496240607,0.11914893617021294,-0.060983606557377,1979-80,0.47560975609756095,0
4,Boston Celtics,0.011467889908256979,-0.0055187637969095205,0.018711018711018657,1.5,0.8214285714285714,0.3714285714285712,-0.01864801864801857,-0.03412969283276446,0.016393442622950838,0.0938967136150235,0.07553956834532372,0.01963350785340312,-0.0066225165562913135,0.0033444816053511683,0.0,0.03875968992248069,0.05319148936170204,-0.28301886792452835,-0.005291005291005124,-0.012295081967212962,0.038426349496797796,0.030188679245283012,61.0,21.0,0.46341463414634143,-0.46341463414634143,7.79,-0.42,7.37,0.03893637226970559,-0.03228869895536557,7.5,-0.004849660523763344,0.08143322475570036,0.838709677419355,0.03578154425612046,0.030864197530864335,-0.006451612903225823,0.03880597014925358,0.09787234042553195,-0.02263374485596714,0.06451612903225801,0.019548872180451093,-0.004255319148936065,8.501639344262296,1979-80,0.7439024390243902,0
5,Indiana Pacers,0.0183486238532109,0.03532008830022071,-0.016632016632016633,0.375,0.3571428571428572,0.0,0.00932400932400923,0.022753128555176305,-0.014344262295082011,0.004694835680751019,0.02517985611510798,-0.017015706806282727,0.1258278145695364,-0.050167224080267525,0.011135857461024523,0.015503875968992276,0.17021276595744683,0.2264150943396226,-0.021164021164021052,-0.012295081967212962,0.01738334858188484,-0.04528301886792452,37.0,45.0,-0.04878048780487809,0.04878048780487809,-0.7,0.16,-0.54,0.0018993352326686086,0.008547008547008517,-0.7,0.012609117361784827,-0.013029315960912058,0.3225806451612905,-0.015065913370998163,-0.014403292181069949,-0.04516129032258065,0.05671641791044779,-0.029787234042553123,0.014403292181069949,0.09677419354838701,-0.06015037593984962,-0.02127659574468077,-0.18885245901639347,1979-80,0.45121951219512196,0
6,Phoenix Suns,-0.002293577981651418,-0.026490066225165476,0.02494802494802495,0.0,0.2142857142857144,-0.13214285714285723,-0.004662004662004615,-0.03526734926052344,0.032786885245901676,0.08920187793427226,0.08273381294964022,0.011780104712041828,-0.13245033112582782,0.0033444816053511683,-0.04231625835189301,0.07751937984496116,0.1808510638297871,-0.2075471698113207,0.05291005291005302,-0.07377049180327855,0.01646843549862753,0.0,55.0,27.0,0.2195121951219512,-0.2195121951219512,3.6,-0.35,3.25,0.002849002849002913,-0.029439696106362767,3.4,0.016488845780795458,0.11074918566775249,0.25806451612903225,0.03201506591337111,0.024691358024691468,0.05806451612903207,-0.09253731343283589,0.11914893617021294,-0.006172839506172867,0.06451612903225801,0.00601503759398514,-0.09361702127659577,0.09770491803278691,1979-80,0.6707317073170732,0
7,Houston Rockets,0.006880733944954143,0.008830022075055233,-0.0020790020790021346,0.625,0.6428571428571428,-0.021428571428571463,-0.006993006993006978,-0.012514220705347134,0.006147540983606481,0.018779342723004522,0.021582733812949506,0.002617801047120505,0.1258278145695364,-0.09698996655518388,-0.020044543429844075,0.015503875968992276,0.010638297872340496,-0.15094339622641506,0.010582010582010692,-0.03688524590163933,0.013723696248856276,0.030188679245283012,41.0,41.0,0.0,0.0,0.17,0.1,0.27,0.026590693257359854,0.025641025641025772,0.1,-0.01842870999030055,0.009771986970684043,0.6451612903225805,0.0037664783427495685,0.002057613168724215,0.0,0.12238805970149258,0.012765957446808418,0.026748971193415683,0.03870967741935494,-0.049624060150375904,-0.02127659574468077,-0.3737704918032787,1979-80,0.5,0
8,Milwaukee Bucks,0.029816513761467878,0.01655629139072845,0.01455301455301461,-0.2500000000000001,-0.3214285714285714,0.15357142857142847,0.03263403263403264,0.026166097838452806,0.006147540983606481,-0.07981220657276988,-0.07913669064748197,0.0,0.0066225165562914245,-0.02341137123745818,-0.011135857461024523,0.07751937984496116,0.010638297872340496,0.16981132075471694,-0.03703703703703698,-0.032786885245901565,0.007319304666056681,-0.04528301886792452,49.0,33.0,0.24390243902439024,-0.24390243902439024,3.94,-0.37,3.57,0.014245014245014342,-0.022792022792022748,3.9,-0.006789524733268548,-0.09446254071661231,-0.32258064516129026,0.0018832391713747842,0.010288065843621519,-0.032258064516129004,0.05074626865671661,-0.09787234042553183,-0.039094650205761194,0.04516129032258065,-0.04060150375939853,-0.025531914893616947,-0.46229508196721314,1979-80,0.5975609756097561,0
9,Philadelphia 76ers,-0.013761467889908285,-0.03642384105960261,0.022869022869022926,-0.625,-0.4642857142857143,-0.22857142857142865,-0.006993006993006978,-0.025028441410694047,0.018442622950819665,0.07511737089201875,0.06474820143884896,0.010471204188481575,-0.039735099337748325,0.07357859531772593,0.03786191536748329,0.050387596899224896,0.03191489361702127,0.509433962264151,0.10052910052910069,-0.069672131147541,-0.0018298261665141702,0.018867924528301883,59.0,23.0,0.2682926829268293,-0.2682926829268293,4.22,-0.18,4.04,-0.002849002849002802,-0.0408357075023742,4.0,-0.0009699321047526022,0.10749185667752448,-0.4516129032258064,0.024482109227871973,0.016460905349794164,0.10967741935483866,0.0,0.11489361702127665,-0.053497942386831254,0.0,0.003007518796992459,-0.07659574468085106,-0.12721311475409836,1979-80,0.7195121951219512,0
